index,d__Bacteria,Unassigned,d__Archaea,d__Eukaryota,Insect Order
SRR11849456,6852,0,0,0,Diptera
SRR11849458,5704,654,0,0,Diptera
SRR11849459,2815,226,0,0,Diptera
SRR11849461,19459,267,12,0,Diptera
SRR11849462,8418,180,155,0,Diptera
SRR11849463,14258,187,27,0,Diptera
SRR11849464,12543,230,0,0,Diptera
SRR11849465,10062,408,1924,0,Diptera
SRR11849466,19775,0,26,0,Diptera
SRR11849467,10805,374,8,0,Diptera
SRR11849468,24858,249,20,0,Diptera
SRR11849469,15316,54,0,0,Diptera
SRR11849470,17940,225,0,0,Diptera
SRR11849471,1279,366,2856,0,Diptera
SRR11849472,10172,179,315,0,Diptera
SRR11849473,25886,325,215,0,Diptera
SRR11849474,9287,397,3110,0,Diptera
SRR11849475,2933,336,0,0,Diptera
SRR11849476,25039,487,23,0,Diptera
SRR11849478,32564,130,0,0,Diptera
SRR11849479,40943,299,101,0,Diptera
SRR11849480,13230,284,13,0,Diptera
SRR11849481,25255,84,35,0,Diptera
SRR11849482,36979,336,0,0,Diptera
SRR11849483,44047,343,0,0,Diptera
SRR11849484,14936,189,3,0,Diptera
SRR11849485,27615,213,7,0,Diptera
SRR11849486,23056,31,191,0,Diptera
SRR11849487,33988,0,0,0,Diptera
SRR11849488,30161,0,1207,0,Diptera
SRR11849489,40277,0,0,0,Diptera
SRR11849490,82301,3,0,61,Diptera
SRR11849491,37103,0,0,0,Diptera
SRR11849492,55052,122,0,0,Diptera
SRR11849493,30952,0,0,0,Diptera
SRR11849494,35866,0,0,0,Diptera
SRR11849495,31502,74,67,0,Diptera
SRR11849496,45523,0,0,0,Diptera
SRR11849497,21043,0,0,0,Diptera
SRR11849498,40294,31,0,0,Diptera
SRR11849499,18281,0,0,0,Diptera
SRR11849500,63576,0,0,0,Diptera
SRR11849501,72124,0,0,0,Diptera
SRR11849502,88619,0,0,0,Diptera
SRR11849503,63183,0,0,0,Diptera
SRR11849504,90965,0,0,0,Diptera
SRR11849505,53697,0,0,0,Diptera
SRR11849506,55953,0,0,0,Diptera
SRR11849507,70016,0,71,0,Diptera
SRR11849508,82544,0,0,0,Diptera
SRR11849509,36911,0,0,0,Diptera
SRR11849511,79016,0,0,0,Diptera
SRR11849512,8042,0,0,0,Diptera
SRR11849513,24392,0,8,0,Diptera
SRR11849514,69058,0,0,0,Diptera
SRR11849515,16747,0,143,0,Diptera
SRR11849516,85773,0,0,0,Diptera
SRR11849517,61324,0,0,0,Diptera
SRR11849518,16746,0,37,0,Diptera
SRR11849519,10345,0,0,0,Diptera
SRR11849520,17197,0,0,0,Diptera
SRR11849522,69376,0,0,0,Diptera
SRR11849523,18193,0,103,0,Diptera
SRR11849524,34717,0,3742,0,Diptera
SRR11849525,47902,0,0,0,Diptera
SRR11849526,67397,0,0,0,Diptera
SRR11849527,24901,0,0,0,Diptera
SRR11849531,25378,0,82,0,Diptera
SRR11849532,20792,3,1421,0,Diptera
SRR29631941,13933,0,2,2,Lepidoptera
SRR29631942,10513,0,0,0,Lepidoptera
SRR29631943,13777,0,0,4,Lepidoptera
SRR29631944,16149,0,0,7,Lepidoptera
SRR29631945,15210,0,0,0,Lepidoptera
SRR29631946,17952,0,0,0,Lepidoptera
SRR29631947,19587,0,0,0,Lepidoptera
SRR29631948,20090,0,0,12,Lepidoptera
SRR29631949,33076,3,18,18,Lepidoptera
SRR29631950,20546,0,0,12,Lepidoptera
SRR29631951,15166,0,29,0,Lepidoptera
SRR29631952,17321,0,0,2,Lepidoptera
SRR29631953,18127,0,0,0,Lepidoptera
SRR29631954,18299,0,0,0,Lepidoptera
SRR29631955,17836,0,0,0,Lepidoptera
SRR29631956,13459,0,16,4,Lepidoptera
SRR29631957,14041,0,13,0,Lepidoptera
SRR29631958,16590,10,47,0,Lepidoptera
SRR29631959,16162,26,2,3,Lepidoptera
SRR29631960,22815,0,0,0,Lepidoptera
SRR29631961,21653,13,0,4,Lepidoptera
SRR29631962,16110,0,0,0,Lepidoptera
SRR29631963,16907,0,0,0,Lepidoptera
SRR29631964,18099,3,0,2,Lepidoptera
SRR29631965,18749,0,0,0,Lepidoptera
SRR29631966,18927,0,0,9,Lepidoptera
SRR6684160,21393,0,0,0,Hymenoptera
SRR6684161,6943,0,0,0,Hymenoptera
SRR6684162,21196,0,0,0,Hymenoptera
SRR6684163,19293,0,0,0,Hymenoptera
SRR6684164,14116,0,0,0,Hymenoptera
SRR6684165,14378,0,0,0,Hymenoptera
SRR6684166,3102,0,0,0,Hymenoptera
SRR6684167,17825,0,0,0,Hymenoptera
SRR6684168,18847,0,0,0,Hymenoptera
SRR6684169,14604,0,0,0,Hymenoptera
SRR6684170,15902,0,0,0,Hymenoptera
SRR6684171,8028,0,0,0,Hymenoptera
SRR6684172,16546,0,0,0,Hymenoptera
SRR6684173,20794,0,0,0,Hymenoptera
SRR6684174,18207,0,0,0,Hymenoptera
SRR6684175,12681,0,0,0,Hymenoptera
SRR6684176,17747,0,0,0,Hymenoptera
SRR6684177,10913,0,0,0,Hymenoptera
SRR6684178,42484,0,0,0,Hymenoptera
SRR6684179,19530,0,0,0,Hymenoptera
SRR6684180,17084,0,0,0,Hymenoptera
SRR6684181,8122,0,0,0,Hymenoptera
SRR6684182,11492,0,0,0,Hymenoptera
SRR6684183,23277,0,0,0,Hymenoptera
SRR6684184,10522,0,0,0,Hymenoptera
SRR6684185,16610,0,0,0,Hymenoptera
SRR6684186,14143,0,0,0,Hymenoptera
SRR6684187,19793,0,0,0,Hymenoptera
SRR6684188,9134,0,0,0,Hymenoptera
SRR6684189,12568,0,0,0,Hymenoptera
SRR6684190,6416,0,0,0,Hymenoptera
SRR6684191,15231,0,0,0,Hymenoptera
SRR6684192,14289,0,0,0,Hymenoptera
SRR6684193,14313,0,0,0,Hymenoptera
SRR6684194,16948,0,0,0,Hymenoptera
SRR6684195,26215,0,0,0,Hymenoptera
SRR6684197,20321,0,0,0,Hymenoptera
SRR6684199,36599,0,0,0,Hymenoptera
SRR6684200,11125,0,0,0,Hymenoptera
SRR6684201,21407,0,0,0,Hymenoptera
SRR6684202,21223,0,0,0,Hymenoptera
SRR6684203,24287,0,0,0,Hymenoptera
SRR6684204,19301,0,0,0,Hymenoptera
SRR6684205,7354,0,0,0,Hymenoptera
SRR6684206,21515,0,0,0,Hymenoptera
SRR6684207,18102,0,0,0,Hymenoptera
SRR6684208,15582,0,0,0,Hymenoptera
SRR6684209,6537,0,0,0,Hymenoptera
SRR6684210,14772,0,0,0,Hymenoptera
SRR6684211,5019,0,0,0,Hymenoptera
SRR6684212,27780,0,0,0,Hymenoptera
SRR6684213,11906,0,0,0,Hymenoptera
SRR6684214,4468,0,0,0,Hymenoptera
SRR6684215,6609,0,0,0,Hymenoptera
SRR6684216,7926,0,0,0,Hymenoptera
SRR6684217,23886,0,0,0,Hymenoptera
SRR6684218,17195,0,0,0,Hymenoptera
SRR6684219,27416,0,0,0,Hymenoptera
SRR6684220,4839,0,0,0,Hymenoptera
SRR6684221,19847,0,0,0,Hymenoptera
SRR6684222,15864,0,0,0,Hymenoptera
SRR6684223,16454,0,0,0,Hymenoptera
SRR6684224,22955,0,0,0,Hymenoptera
SRR6684225,23033,0,0,0,Hymenoptera
