RUN	shannon_entropy
ERR1727188	3.3999513782310817
ERR1727189	3.92582919106689
ERR1727190	4.026864556163327
ERR1727191	4.062327776091003
ERR1727192	4.092516719744441
ERR1727193	2.1533812368815166
ERR1727243	3.830467077483388
ERR1727245	5.056745065828528
ERR1727246	5.0095749177281474
ERR1727252	3.408508954985178
ERR1727258	3.825875316985163
SRR11604158	4.356672200990197
SRR11604159	3.1220700072127228
SRR11604160	4.24369798106442
SRR11604161	5.305653816141506
SRR11604162	4.511628283809928
SRR11604163	4.918201163951603
SRR24458000	1.8143618298768052
SRR24458001	2.115435261219281
SRR24458002	2.0734879100311483
SRR24458004	2.1523030863572568
SRR24458005	2.3306162542636955
SRR24458006	1.7852557341743458
SRR24458007	1.7128500868235506
SRR24458008	1.7616543114712968
SRR24458009	2.0548530869755237
SRR24458010	2.2085208468195416
SRR24458011	2.0733202957050123
SRR24458012	1.862547756898988
SRR24458013	2.174377338138665
SRR24458014	2.2222637648014323
SRR24458016	2.3896760858907498
SRR24458017	1.7643647341739526
SRR24458018	2.137779477124644
SRR24458019	2.1319462527641995
SRR24458021	1.936754724788248
SRR24458022	1.8403131188270156
SRR24458023	2.6732998744838063
SRR24458024	2.197753972627018
SRR24458025	1.567088894637115
SRR24458026	1.6637809536918906
SRR24458027	1.5291768579416032
SRR24458028	2.0216946270435634
SRR24458029	2.151463907260119
SRR24458030	2.271735838226974
SRR24458031	1.7354228563101486
SRR24458032	2.037974943773825
SRR24458033	1.953452084086377
SRR24458034	2.003841362251784
SRR24458038	1.2490575381842794
SRR24458039	1.3719843340417652
SRR24458040	1.9005549348122417
SRR24458041	2.321656273896977
SRR24458042	0.9880695304295948
SRR24458043	1.5721784192931882
SRR24458044	1.6238358472578405
SRR24458045	2.14627402326446
SRR6458122	-0.0
SRR6458123	-0.0
SRR6458142	0.4109274129440046
SRR6458144	0.5763278347550569
SRR6458160	-0.0
SRR6458474	2.616512766539317
SRR6458475	2.410424725439672
SRR6458476	3.038188885343023
SRR6458477	3.0656469923329963
SRR6458478	2.574675358937653
SRR6458480	2.543188507479441
SRR6458481	2.723992399046953
SRR6458482	0.5566474902571028
SRR6458483	2.9843116495052344
SRR6458484	1.382848396099675
SRR6458485	0.0338414955960039
SRR6458486	0.1963929220344165
SRR6458487	0.1643268445339198
SRR6458488	0.7734976161773941
SRR6458489	0.6762865775354242
SRR6458490	0.1319231292671321
SRR6458491	0.020814071335501
SRR6458492	0.6488193487173584
SRR6458493	1.2449179790336096
SRR6458494	0.2867237721894859
SRR6458495	0.4394931489043684
SRR6458496	3.0162754802265006
SRR6458497	3.19722529504686
SRR6458498	3.111991054126196
SRR6458499	2.4885189469816877
SRR6458500	3.0988192105093426
SRR6458501	2.583363851055323
SRR6458502	2.439151106223159
SRR6458503	2.9347972819915444
SRR6458504	1.4841145009195231
SRR6458505	0.570318162880028
SRR6458506	0.4364698170641029
SRR6458508	0.6085876388427613
SRR6458509	0.4923288429982778
SRR6458510	0.6879880005638404
SRR6458511	0.0186110951442803
SRR6458512	0.5098398517963592
SRR6458514	0.4029010011396291
SRR6458515	0.0270166861301531
SRR6458516	0.1584698251228058
SRR6458517	0.0760191062491933
SRR6458518	0.0914198086121843
SRR6458519	0.0348414955960039
SRR6458520	0.5277118515333195
SRR6458521	0.1223956083885506
SRR6458522	0.5062513139680772
SRR6458523	0.498405962754767
SRR6458524	0.4847622040923814
SRR6458525	0.0176110951442803
SRR6458526	0.04281754008506
SRR6458527	0.5959036534800458
SRR6458529	0.4777939142319122
SRR6458530	3.254817757414135
SRR6458531	0.8113542660199667
SRR6458532	0.5012469739570767
SRR6458533	0.6166231329190317
SRR6458534	0.6159473091490056
SRR6458535	0.4855044629930579
SRR6458536	0.7881210355507298
SRR6458537	0.7065627580074665
SRR6458538	0.8087083905803865
SRR6458539	0.8408180081154273
SRR6458540	0.0176110951442803
SRR6458541	0.0376223603222784
SRR6458542	2.988581912973096
SRR6458543	0.0666374882090211
SRR6458544	1.1807384491616968
SRR6458545	0.6723911092594179
SRR6458546	0.5278600262162151
SRR6458547	0.0865648505323601
SRR6458548	0.7109430944979747
SRR6458549	0.4846477397314453
SRR6458550	0.5377044229267413
SRR6458551	0.0062040592958316
