SampleID,PC1,PC2
SRR1747865,-0.151486499,0.061982713
SRR1747866,-0.154783587,-0.127277385
SRR1747867,-0.125460365,-0.169379266
SRR1747868,-0.148201827,-0.078447234
SRR1747869,-0.177515172,0.083726809
SRR1747870,-0.108251286,-0.187480752
SRR1747871,-0.162387719,0.00693537
SRR1747872,-0.08124724,-0.316115802
SRR1747873,-0.164554791,-0.081636365
SRR1747874,-0.147017665,-0.003263995
SRR1747875,0.063516917,-0.175045753
SRR1747876,-0.116616348,-0.208348929
SRR1747877,-0.131403639,0.140135513
SRR1747878,-0.119564798,-0.180984912
SRR1747879,-0.118060517,-0.221886312
SRR1747880,-0.057432562,-0.262760468
SRR1747881,-0.15450003,0.053081837
SRR1747882,-0.132962087,0.263120998
SRR1747883,-0.159878501,0.158521264
SRR1747884,-0.161783761,0.194236247
SRR1747885,-0.137416624,0.24766075
SRR1747886,-0.155484868,0.019944575
SRR1747887,-0.172467863,0.105544244
SRR1747888,-0.170163779,0.149070419
SRR1747889,-0.14465563,-0.091173504
SRR1747890,-0.149920887,-0.07775827
SRR1747891,-0.160391748,-0.001066041
SRR1747892,-0.126225171,0.086628715
SRR1747893,-0.178463585,0.155741278
SRR1747894,-0.179109759,0.151013133
SRR1747895,-0.149595964,-0.049035363
SRR1747896,-0.053709068,-0.212157256
SRR1747897,0.772107366,0.056256619
SRR1747898,-0.151373344,0.06944851
SRR1747899,-0.153433979,0.08483237
SRR1747900,-0.169190033,0.111345435
SRR1747901,-0.116570521,-0.218863952
SRR1747902,-0.12468619,-0.153777444
SRR1747903,-0.153267556,0.209382747
SRR1747904,-0.177851099,0.172593604
SRR1747905,-0.167945782,0.151883067
SRR1747906,-0.179117558,0.102694574
SRR1747907,-0.134181421,0.317169784
SRR1747908,0.607662149,-0.083948848
SRR1747909,-0.14816796,-0.059513218
SRR1747910,0.529161112,-0.037968462
SRR1747911,-0.012949148,-0.202877041
SRR1747912,-0.16133716,0.02153921
SRR1747913,-0.099467127,-0.139650038
SRR1747914,0.748485499,0.033977025
SRR1747915,0.809064295,0.070499606
SRR1747916,0.803886028,0.068718019
SRR1747917,0.742139478,0.048831625
SRR1747918,0.805609927,0.068027168
SRR1747919,0.721675966,0.035191801
SRR1747920,0.595785379,-0.137294004
SRR1747921,0.806817774,0.072007965
SRR1747922,-0.135862724,-0.180613499
SRR19632835,0.383852597,0.022989504
SRR19632836,-0.201267372,0.120201321
SRR19632847,-0.105124651,-0.154582414
SRR19632848,-0.077460574,0.011391589
SRR12841750,-0.465731261,-0.213391082
SRR12841751,-0.455641059,-0.200334361
SRR12841752,-0.498624837,-0.207073664
SRR12841753,-0.069813613,0.050675381
SRR12841754,-0.455482036,-0.110890043
SRR12841755,-0.477495389,-0.16380664
SRR12841756,-0.356100743,-0.08830645
SRR12841757,-0.44383012,-0.053733474
SRR12841758,0.195849343,0.261059124
SRR12841759,0.069809312,0.304399293
SRR12841760,0.022064838,0.200242873
SRR12841761,0.112958984,0.245046753
SRR12841762,0.095628987,0.311556787
SRR12841763,0.216990076,0.256230551
SRR12841764,-0.017084493,0.206437955
SRR12841765,-0.137155621,0.302514783
SRR12841766,-0.061037465,0.163847189
SRR12841767,0.090280442,0.221079925
SRR12841768,0.082041246,0.213521958
SRR12841769,0.255306773,0.226879948
SRR12841771,0.284036557,0.084434184
SRR12841772,-0.438505017,-0.260763461
SRR12841773,-0.462044787,-0.258736871
SRR12841774,-0.487615396,-0.285555397
SRR12841775,-0.475549742,-0.194146052
SRR12841776,-0.233447208,-0.123164346
SRR12841777,-0.142082918,0.161944657
SRR12841778,-0.138232548,0.12927111
SRR12841779,0.013779427,0.077167913
SRR12841780,0.02933434,0.297224132
SRR12841781,0.10001878,0.115643607
SRR12841782,0.101938664,0.035190822
SRR12841783,0.165952212,0.265869575
SRR12841784,0.173237827,0.112844396
SRR12841785,0.177235087,0.247133966
SRR12841786,0.202567665,0.075616387
SRR12841787,0.125218675,0.235401642
SRR12841788,0.148077151,0.14065211
SRR12841789,0.069665555,0.235994902
SRR12841790,-0.303290264,0.031809144
SRR12841791,-0.460609492,-0.015904176
SRR12841792,-0.48761548,-0.104150004
SRR12841793,-0.287568446,-0.118076859
SRR12841794,0.174623349,0.192686901
SRR12841795,0.089579341,0.293065014
SRR12841796,-0.490441484,0.088303892
SRR12841797,-0.543753381,-0.207660689
SRR12841798,-0.408207567,0.095806577
SRR12841799,-0.527806134,0.021759709
SRR12841800,-0.543366601,-0.041653545
SRR12841801,-0.45135902,0.053394846
SRR12841802,-0.39574273,-0.005418095
SRR12841803,-0.473664248,-0.260507363
SRR12841804,0.175680973,0.164304132
SRR12841805,-0.292453315,-0.131574779
SRR12841806,-0.380942138,-0.172767436
SRR12841807,0.062349147,0.189456159
SRR12841808,0.203826264,0.21972978
SRR12841809,-0.017125035,0.278339686
SRR12841810,-0.26512644,0.228961387
SRR12841811,-0.133182279,0.350854361
SRR12841812,-0.171362402,0.309686015
SRR12841813,-0.395845795,-0.057905152
SRR12841815,-0.295570505,0.358105229
SRR12841816,0.341775383,0.130769931
SRR12841817,0.1660286,0.248962049
SRR12841818,-0.126525312,0.319810187
SRR12841819,0.131302287,0.234644591
SRR12841820,-0.263987669,0.073685866
SRR12841821,-0.091026371,0.105274565
SRR12841822,-0.479615287,-0.001666799
SRR12841823,0.045535698,0.189316189
SRR12841824,0.063875811,0.17592148
SRR12841826,0.167927598,0.054233023
SRR12841827,0.089061513,0.265831258
SRR12841828,0.079237071,0.139722876
SRR12841829,-0.037224515,0.224271242
SRR12841831,-0.178355063,0.195428825
SRR12841832,-0.405833609,-0.182811885
SRR12841833,0.056758564,0.214211387
SRR12841835,-0.343267904,-0.028599815
SRR12841836,-0.456227267,-0.187440897
SRR12841837,-0.377069708,-0.096291504
SRR12841838,-0.325912819,-0.166673394
SRR12841839,-0.354616494,-0.037615864
SRR12841840,-0.068698502,0.162622613
SRR12841841,0.217897179,0.097332847
SRR12841842,-0.142825508,0.085164818
SRR12841843,0.083017597,0.231848333
SRR12841844,-0.003035413,0.26690553
SRR12841845,0.008577148,0.22967814
SRR12841846,-0.060466542,0.060087369
SRR12841847,-0.099333444,0.142546019
SRR12841849,-0.358312691,-0.046890889
SRR12841850,0.129168353,0.232708999
SRR12841851,-0.04786899,0.112998421
SRR12841852,-0.012168512,0.228906947
SRR12841853,0.054594143,0.271608655
SRR12841854,0.238464416,0.106539829
SRR12841855,-0.062810502,0.220177949
SRR12841856,0.023644887,0.069044993
SRR12841857,0.241190154,0.249924148
SRR12841858,-0.029108155,0.066707614
SRR12841859,-0.257267211,-0.146218209
SRR12841860,-0.294016118,-0.180112606
SRR12841861,0.037762213,0.138965749
SRR12841862,-0.445880925,-0.185518168
SRR12841863,0.152145455,0.156112753
SRR12841864,-0.365758608,-0.014836848
SRR12841865,0.160567109,0.166457308
SRR12841866,0.19790863,0.252079079
SRR12841867,0.11606937,0.10878922
SRR12841870,-0.058235171,0.281953744
SRR12841871,0.056831288,0.191113536
SRR12841872,-0.497561195,-0.284084325
SRR12841873,-0.493545159,-0.287055215
SRR17676923,0.447071009,-0.151208016
SRR17676924,0.355864945,-0.354534917
SRR17676925,0.391339231,-0.014768305
SRR17676926,0.440071338,-0.234551143
SRR17676927,0.445006754,-0.150003054
SRR17676928,0.411067415,-0.058881283
SRR17676929,0.408097704,-0.050124472
SRR17676930,0.445180471,-0.222792472
SRR17676931,0.374404851,-0.327110331
SRR17676932,0.45229119,-0.190730965
SRR17676934,0.272889311,-0.50450037
SRR17676935,0.355698791,-0.354716607
SRR17676936,0.451494916,-0.203553167
SRR17676937,0.366090301,-0.338474766
SRR17676938,0.451092826,-0.175325911
SRR17676939,0.094768375,-0.186592509
SRR17676940,0.397633595,-0.086848737
SRR17676941,0.452176224,-0.185243794
SRR17676942,0.422085336,-0.261708168
SRR17676945,-0.40374029,-0.265010063
SRR17676946,0.103676343,-0.049832067
SRR17676947,0.363214194,-0.341135028
SRR17676948,-0.450950781,-0.283211702
SRR17676953,0.219204201,0.00737228
SRR17676954,0.109208262,-0.052909727
SRR17676958,0.375200653,0.011161786
SRR17676960,0.430922338,-0.246141996
SRR17676961,0.30704508,-0.407231572
SRR17676962,0.281674539,-0.48084921
SRR17676963,0.260862483,-0.540380773
SRR17676964,0.263188032,-0.529382996
SRR17676965,0.269667832,-0.50905881
SRR17676967,0.355627004,-0.353203658
SRR17676970,0.451044185,-0.206364472
SRR17676971,0.268712845,-0.512937755
SRR17676972,0.443859272,-0.171527339
SRR17676973,0.289725233,0.004355858
SRR17676975,0.378734359,0.005095169
SRR17676976,-0.285200172,-0.208981335
SRR17676977,0.389616329,-0.014463743
SRR17676978,0.451378841,-0.174888316
SRR17676979,0.384042719,-0.004090015
SRR17676980,0.335859185,0.034641767
SRR17676981,0.389774656,-0.011528152
SRR17676982,0.100067058,-0.141038737
SRR17676983,0.062931205,-0.141956889
ERR3294084,-0.172767325,0.007775562
ERR3294085,-0.163339605,0.013400206
ERR3294086,-0.165557371,0.013770114
ERR3294087,-0.155612116,0.010093456
ERR3294088,0.511878758,-0.616941203
ERR3294089,-0.179244841,0.003625553
ERR3294090,-0.171761679,0.011904026
ERR3294091,-0.167355248,0.013458168
ERR3294093,-0.15464024,0.013719669
ERR3294094,-0.167339546,0.012146632
ERR3294095,0.67933083,0.257122399
ERR3294096,0.652301405,0.245453251
ERR3294097,-0.171509255,0.008950009
ERR3294098,-0.174383767,0.005522157
SRR19150904,-0.427645846,-0.271635519
SRR19150909,-0.169750469,0.248524656
SRR19150914,-0.381225567,-0.22323604
SRR19150918,-0.411277947,-0.21992637
SRR19150922,-0.293393948,0.40474893
SRR19150925,0.008551541,0.212378858
SRR19150932,-0.215796197,0.385288516
SRR19150939,0.538943813,-0.114110245
SRR19150955,-0.042778988,0.002269787
SRR19150956,-0.097430184,-0.141217622
SRR19150957,-0.130106059,-0.139381226
SRR19150958,0.248105097,-0.161468118
SRR19150959,-0.072242759,0.360207112
SRR19150960,0.137876964,-0.000520901
SRR19150961,0.116169441,-0.255143064
SRR19150964,0.450364221,-0.043820046
SRR19150969,0.381417972,0.075788836
SRR19150980,0.316536266,0.162631295
SRR19150983,-0.305398308,0.357564333
SRR19150986,-0.128765661,-0.03783565
SRR19150987,-0.197713671,-0.161507956
SRR19150988,-0.299239387,-0.090975938
SRR19150990,-0.298437231,-0.085761522
SRR19150991,-0.284145936,-0.050844258
SRR19150992,0.124724897,0.047377223
SRR19150993,0.216406463,0.055541743
SRR19150994,0.214781974,-0.001987201
SRR19150995,0.444036595,-0.038508007
SRR19150996,0.379073143,0.054051974
SRR19150997,0.334062612,0.109498325
SRR19150998,-0.309127027,0.354617655
SRR19151000,-0.253048089,0.431106227
SRR19151004,-0.267395078,0.439037665
SRR19151007,-0.333978834,0.207041021
SRR19151008,-0.074904606,0.39266109
SRR19151013,-0.321466122,0.006316823
SRR19151027,-0.146692554,-0.095724302
SRR19151028,-0.114131685,-0.152275313
SRR19151029,-0.079110433,-0.215744814
SRR19151030,0.352319813,0.099011882
SRR19151031,0.379329273,0.05390129
SRR19151032,0.314341922,0.076073566
SRR19151033,0.275230188,0.177797948
SRR19151035,0.404836453,0.016798458
SRR19151036,0.301898045,0.163191226
SRR19151037,-0.126606342,-0.47930532
SRR19151038,-0.153210631,-0.514823555
SRR19151039,-0.254425405,-0.491537429
SRR19151040,0.110318974,-0.225356725
SRR19151041,0.157605572,-0.252886519
SRR19151043,0.322170843,-0.269287503
SRR19151045,-0.339657121,-0.158605274
SRR8268636,-0.419899669,0.118522364
SRR8268637,-0.157846013,-0.023860551
SRR8268638,0.12065144,-0.42705657
SRR8268639,-0.060923416,0.0725411
SRR8268640,-0.045965012,-0.17334679
SRR8268641,0.170581078,0.274155501
SRR8268642,-0.492700806,-0.037852478
SRR8268643,0.200633544,0.219045725
SRR8268645,0.270791941,0.300955337
SRR8268646,0.180138481,0.362395149
SRR8268647,0.315450475,0.248125812
SRR8268648,-0.455333033,-0.089870246
SRR8268649,-0.242910956,0.031225534
SRR8268650,-0.565229649,0.012879112
SRR8268651,-0.569454476,0.013305661
SRR8268652,-0.503688381,-0.001070039
SRR8268653,0.11089072,-0.292587048
SRR8268654,0.14407457,-0.282642828
SRR8268655,0.192920507,0.383965602
SRR8268656,-0.230065125,-0.144889703
SRR8268657,0.283703599,-0.005163046
SRR8268658,-0.573826022,0.036868415
SRR8268659,-0.49154192,-0.018423635
SRR8268660,-0.458993481,-0.144478726
SRR8268661,-0.080345187,0.26845836
SRR8268662,-0.210944709,-0.140786235
SRR8268663,0.104406285,0.457882399
SRR8268664,-0.4373763,0.002010877
SRR8268665,0.240112455,0.274014516
SRR8268666,-0.420837342,-0.116011629
SRR8268667,-0.007315183,0.355816403
SRR8268668,0.235954214,-0.448850618
SRR8268669,0.199587957,0.195001615
SRR8268670,-0.560055732,0.023052708
SRR8268671,0.156795532,-0.475304641
SRR8268672,0.280859872,-0.461994373
SRR8268673,0.269351399,-0.463854427
SRR8268674,0.245777186,0.393394482
SRR8268675,0.126400472,-0.450907103
SRR8268676,0.395937387,-0.07546403
SRR8268677,0.157365934,-0.474610029
SRR8268678,0.294765192,0.031822459
SRR8268679,0.337196404,0.065356104
SRR8268680,0.177344156,0.476429829
SRR8268681,0.347941971,0.044098355
SRR8268682,0.175416658,0.339597284
SRR8268683,0.323267718,0.038445657
SRR8268684,0.049535176,0.473108573
SRR8268685,0.324323472,-0.079984444
SRR8268686,-0.230971997,-0.194405602
SRR8268687,0.255368258,-0.46541435
SRR8268688,-0.040435168,0.43282916
SRR8268689,0.119380181,0.451076603
SRR8268690,0.244681583,-0.418103505
SRR8268691,0.205053763,-0.489448053
SRR7269265,-0.26775,0
SRR7269272,0.26775,0
SRR9912230,-0.06675,0
SRR9912233,0.06675,0
SRR9715685,-0.33799463,0.148403727
SRR9715688,-0.240261237,-0.282503322
SRR9715689,0.604118475,0.04359668
SRR9715691,0.612738374,-0.023423279
SRR9715696,-0.338844311,-0.113846316
SRR9715712,-0.299756671,0.227772509
SRR6782755,-0.334525811,-0.186071163
SRR6782799,-0.355337723,-0.192162873
SRR6782800,-0.313675043,-0.079661367
SRR6782801,0.12785208,0.574323139
SRR6782802,0.126035778,-0.304828655
SRR6782803,0.533420698,-0.204786589
SRR6782804,-0.189383123,-0.025828741
SRR6782805,0.537695381,-0.178031804
SRR6782807,-0.16483298,0.050642876
SRR6782808,0.032750741,0.546405176
SRR8140452,0.384532681,-0.028539757
SRR8140454,-0.386842055,-0.390734946
SRR8140460,-0.354280255,0.017885723
SRR8140462,0.395725076,0.018419459
SRR8140465,0.39506075,0.021041624
SRR8140467,-0.405452823,-0.35861593
SRR8140468,-0.480818368,0.081509375
SRR8140469,0.21824578,-0.039816908
SRR8140474,0.404379862,-0.005803124
SRR8140480,-0.210804672,0.063791029
SRR8140484,0.092727747,-0.164425274
SRR8140487,0.404252411,-0.005829853
SRR8140488,-0.411374816,0.485456008
SRR8140495,-0.045351318,0.305662574
SRR5958500,-0.36825,0
SRR5958504,0.36825,0
SRR13847053,-0.295916986,-0.020734433
SRR13847054,-0.260449132,-0.031753663
SRR13847055,-0.19562229,-0.128406054
SRR13847056,-0.37622664,-0.101521276
SRR13847057,-0.31537362,-0.122149199
SRR13847058,0.403123264,-0.22801898
SRR13847059,0.360926746,-0.19284784
SRR13847060,0.379578674,-0.221504593
SRR13847061,0.34454738,-0.218762912
SRR13847062,0.378863942,-0.217307879
SRR13847063,0.029838878,0.176267565
SRR13847064,0.410572531,-0.225794904
SRR13847065,0.41303735,-0.221291708
SRR13847066,0.416537471,-0.200113245
SRR13847067,0.375060418,-0.173169401
SRR13847068,0.431577955,-0.19045941
SRR13847069,0.435191125,-0.295769027
SRR13847070,0.414752375,-0.287730819
SRR13847071,0.433360496,-0.300965255
SRR13847072,0.427574628,-0.2840761
SRR13847073,0.445589084,-0.292995324
SRR13847074,-0.158486029,0.136065589
SRR13847075,-0.076654053,0.083578923
SRR13847076,0.107195719,-0.18144948
SRR13847077,0.116827719,-0.273304108
SRR13847078,0.163357447,-0.300252376
SRR13847079,-0.002367449,-0.176364136
SRR13847080,0.308651825,-0.044894345
SRR13847081,0.148079416,0.436613032
SRR13847082,0.377990078,0.203061587
SRR13847083,0.15420416,0.400394021
SRR13847084,0.314034409,0.257086627
SRR13847085,0.035410771,0.176541421
SRR13847086,0.410460863,-0.293763887
SRR13847087,0.375685727,-0.320958128
SRR13847088,0.391236257,-0.286485193
SRR13847089,0.435397944,-0.281341816
SRR13847090,0.413654675,-0.297611497
SRR13847091,-0.355665321,-0.061015989
SRR13847092,-0.108321515,0.001845485
SRR13847093,-0.396999242,-0.139273668
SRR13847094,-0.336125971,-0.107628969
SRR13847095,-0.34832947,-0.139476209
SRR13847096,0.036721926,0.176623262
SRR13847097,0.079275595,0.35284194
SRR13847098,0.127195135,0.45116834
SRR13847099,0.12621983,0.412720804
SRR13847100,0.097409769,0.434605302
SRR13847101,0.061472986,0.425010657
SRR13847102,0.071729502,-0.114822837
SRR13847103,-0.214591687,-0.009236303
SRR13847104,-0.218685725,-0.095762729
SRR13847105,-0.227732536,-0.163777423
SRR13847106,-0.237461746,-0.16676699
