RUN	pielou_evenness
ERR4913282	0.0869599033037252
ERR4913283	0.3368356112983107
ERR4913284	0.8438616792433344
ERR4913285	0.0705821073494752
ERR4913286	0.1370873468089969
ERR4913287	0.0751908625056043
ERR4913288	0.599567860405188
ERR4913289	0.0479240797487401
ERR4913290	0.0482038542409523
ERR4913291	0.0688336169189969
ERR4913292	0.0572563162066552
ERR4913293	0.0646779206797974
ERR4913294	0.1180272599327953
ERR4913295	0.1579127813743938
ERR4913296	0.1031734190368756
ERR4913297	0.0537797376100429
ERR4913298	0.0307674244851516
ERR4913299	0.0311719956838408
ERR4913300	0.1613062295263982
ERR4913301	0.045064511176633
ERR4913302	0.1009451943643373
ERR4913303	0.1438718237886461
ERR4913304	0.265008697682908
ERR4913305	0.0232670137060603
ERR4913306	0.0746417442310828
ERR4913307	0.038455662553785
ERR4913308	0.0704653225044877
ERR4913309	0.1044472176693545
ERR4913310	0.0236849762407957
ERR4913311	0.0261097562855062
ERR4913312	0.0302867002909341
ERR4913313	0.0515472911561639
ERR4913314	0.0891401571941217
ERR4913315	0.061283258417075
ERR4913316	0.0723262628464854
ERR4913317	0.1525363938801643
ERR4913318	0.0524652123123511
ERR4913319	0.1120756826805149
ERR4913320	0.0498668742719244
ERR4913321	0.1648623976825527
ERR4913322	0.0145083430650765
ERR4913323	0.0729386163905625
ERR4913324	0.0383548367846782
ERR4913325	0.0207020365191347
ERR4913326	0.1087390617400719
ERR4913327	0.2736461140658947
ERR4913328	0.1756172840581793
ERR4913329	0.1014115568433063
ERR4913330	0.1637512340036905
ERR4913331	0.1587239210726635
ERR4913332	0.1034954250044294
ERR4913333	0.2373388673773509
ERR4913334	0.3541075881230257
ERR4913335	0.7860982188985953
ERR4913336	0.132214527134776
ERR4913337	0.5259314265003451
SRR13260474	0.751957781504229
SRR13260475	0.2252531217527434
SRR13260476	0.7064937416478344
SRR13260477	0.7568249737856311
SRR13260478	0.7806655440066753
SRR13260479	0.754973688787221
SRR13260480	0.511096069981001
SRR13260481	0.6444291484937192
SRR13260482	0.7499671525851649
SRR13260483	0.6195327239838261
SRR13260484	0.81197071270685
SRR13260485	0.6461010467003019
SRR13260486	0.6468159819178391
SRR13260487	0.2508785121566536
SRR13260488	0.3716990733804253
SRR13260489	0.5818833999588869
SRR13260490	0.5344126573427016
SRR13260491	0.6604163847742881
SRR13260492	0.5925913102066386
SRR13260493	0.2129279508204864
SRR13260494	0.4887294534331129
SRR13260495	0.7262511093148495
SRR13260496	0.7546524009513119
SRR13260497	0.8124628356356681
SRR13260498	0.6495969623988919
SRR13260499	0.4825753495495231
SRR13260500	0.3936703542654894
SRR13260501	0.4295560603692419
SRR13260502	0.6382862177318545
SRR13260503	0.1139416878471135
SRR13260504	
SRR13260505	0.5972047549479393
SRR13260506	0.7500702464196216
SRR13260507	0.5122398114860569
SRR13260508	0.5786464002992296
SRR13260509	0.6160358535429303
SRR13260510	0.4575143802237002
SRR13260511	0.6949803899450875
SRR13260512	0.1376101238614987
SRR13260513	0.6492079039963303
SRR9698226	0.283752041102505
SRR9698229	0.5432385032059696
SRR9698232	0.5957925311989005
SRR9698233	0.7127044909912755
SRR9698234	0.7250037540649751
SRR9698242	0.5219047025224635
SRR9698243	0.4722856995570328
SRR9698244	0.580979727174668
SRR9698245	0.4775908705370869
SRR9698254	0.5722127686425733
SRR9698257	0.5632187805789671
SRR9698259	0.1985833541191204
SRR9698263	0.3651019027886028
SRR9698265	0.7356896051576827
SRR9698268	0.6724569667246502
SRR9698270	0.5044469988121532
SRR9698272	0.4439532597031825
SRR9698273	0.276633736952041
SRR9698274	0.5431469212877349
SRR9698275	0.3916337370369082
SRR9698278	0.6632749645875925
SRR13839625	0.5981383323259875
SRR13839626	0.99971144175281
SRR13839627	0.6167832048517323
SRR13839628	0.6910087381253046
SRR13839629	0.8518250083850655
SRR13839630	0.7462059612621192
SRR13839631	0.784887592414385
SRR13839632	0.831184933641498
SRR13839633	0.7758432649878809
SRR13839634	0.7965635280374418
SRR13839635	0.6097555726817014
SRR13839636	0.7920990622689849
SRR13839637	0.8336374938127602
SRR13839638	0.7560950159782172
SRR13839639	0.4966033750262231
SRR13839640	0.6652954348687755
SRR13839641	0.6237669075876114
SRR13839642	0.7834829890265141
SRR13839643	0.8077286180345996
SRR13839644	0.6523484733815537
SRR13839645	0.1143907623002375
SRR13839646	0.8590380758876641
SRR13839647	0.5612872842552459
SRR13839648	0.7396063395530595
SRR13839649	0.9100377400203872
SRR13839650	0.8686546739168773
SRR13839651	0.763839926819277
SRR13839652	0.5398112456851714
SRR13839653	0.7071766607708514
SRR13839654	0.5445467258623629
SRR13839655	0.4906473679193177
SRR13839656	0.5217142239005643
SRR13839657	0.6787485956470048
SRR13839658	0.9576881222610312
SRR13839659	0.6024890094511308
SRR13839660	0.9165125097919148
SRR13839661	0.9013902001627586
SRR13839662	0.645348741272998
SRR13839663	0.6996969660195921
SRR13839664	0.6831208265012715
SRR13839665	0.6815358259673572
SRR13839668	0.7302907076488934
SRR13839669	0.5876683966834468
SRR13839670	0.6044302046400674
SRR13839671	0.7379218360889738
SRR13839672	0.950082144536046
SRR13839673	0.6875868930904162
SRR13839675	0.879516519131174
SRR13839676	0.9523163926043064
SRR13839677	0.6050347132945894
SRR13839678	0.7229813425059199
SRR13839679	0.6680292412955305
SRR13839680	0.7401001096955645
SRR13839681	0.7575455832686026
SRR13839682	0.8314537842057337
SRR13839683	0.7450981358290846
