RUN	pielou_evenness	shannon_entropy
ERR4913298	0.0307674244851516	0.1064378010879689
ERR4913299	0.0311719956838408	0.0988128884630588
ERR4913300	0.1613062295263982	0.880640329759584
ERR4913301	0.045064511176633	0.1497010657600229
ERR4913302	0.1009451943643373	0.3843341826211212
ERR4913303	0.1438718237886461	0.76567550108348
ERR4913304	0.265008697682908	1.4467968633439603
ERR4913305	0.0232670137060603	0.0540243328082309
ERR4913306	0.0746417442310828	0.236608731189372
ERR4913307	0.038455662553785	0.1330347349542104
ERR4913308	0.0704653225044877	0.2437699646894992
ERR4913309	0.1044472176693545	0.4850378582785799
ERR4913310	0.0236849762407957	0.0612247754129286
ERR4913311	0.0261097562855062	0.0522195125710125
ERR4913312	0.0302867002909341	0.0908601008728024
ERR4913313	0.0515472911561639	0.196258832702157
ERR4913314	0.0891401571941217	0.4087042780434373
ERR4913315	0.061283258417075	0.203578577881924
ERR4913316	0.0723262628464854	0.3125889073944335
ERR4913317	0.1525363938801643	0.5276892239819532
ERR4913318	0.0524652123123511	0.1814998143518663
ERR4913319	0.1120756826805149	0.4147293076287553
ERR4913320	0.0498668742719244	0.1787708742930259
ERR4913321	0.1648623976825527	0.7925520589614381
ERR4913322	0.0145083430650765	0.0290166861301531
ERR4913323	0.0729386163905625	0.2917544655622503
ERR4913324	0.0383548367846782	0.127412009889842
ERR4913325	0.0207020365191347	0.0480686402151631
ERR4913326	0.1087390617400719	0.4918878828247243
ERR4913327	0.2736461140658947	1.5283032855260863
ERR4913328	0.1756172840581793	0.6686373308572974
ERR4913329	0.1014115568433063	0.4822005442091777
ERR4913330	0.1637512340036905	0.8330783182026648
ERR4913331	0.1587239210726635	0.7936196053633177
ERR4913332	0.1034954250044294	0.3940438158010579
ERR4913333	0.2373388673773509	1.295735316891474
ERR4913334	0.3541075881230257	2.1001190943955685
ERR4913335	0.7860982188985953	4.716589313391572
ERR4913336	0.132214527134776	0.5288581085391041
ERR4913337	0.5259314265003451	2.4721089661408246
SRR13260474	0.751957781504229	2.8629701605896423
SRR13260475	0.2252531217527434	0.8576185818141484
SRR13260476	0.7064937416478344	2.8259749665913376
SRR13260477	0.7568249737856311	3.324215518352706
SRR13260478	0.7806655440066753	2.7986567008690124
SRR13260479	0.754973688787221	2.874452790028012
SRR13260480	0.511096069981001	1.620136210371685
SRR13260481	0.6444291484937192	2.5177141797861173
SRR13260482	0.7499671525851649	2.775208238727325
SRR13260483	0.6195327239838261	1.739248242051749
SRR13260484	0.81197071270685	3.7706752201195
SRR13260485	0.6461010467003019	3.1387466058020985
SRR13260486	0.6468159819178391	3.3944433876416564
SRR13260487	0.2508785121566536	1.276335108265147
SRR13260488	0.3716990733804253	0.9608281662412008
SRR13260489	0.5818833999588869	1.9329748142720065
SRR13260490	0.5344126573427016	2.0346986613436187
SRR13260491	0.6604163847742881	2.805400931211644
SRR13260492	0.5925913102066386	2.256205441683809
SRR13260493	0.2129279508204864	0.7073313420173686
SRR13260494	0.4887294534331129	1.3720370366499723
SRR13260495	0.7262511093148495	3.0284126580572046
SRR13260496	0.7546524009513119	2.9483443682300696
SRR13260497	0.8124628356356681	4.928472024898197
SRR13260498	0.6495969623988919	2.059173651969229
SRR13260499	0.4825753495495231	1.7300145319074447
SRR13260500	0.3936703542654894	0.9140742556933008
SRR13260501	0.4295560603692419	1.6782285325432362
SRR13260502	0.6382862177318545	2.0233194396642573
SRR13260503	0.1139416878471135	0.3198747582051452
SRR13260504		-0.0
SRR13260505	0.5972047549479393	3.063232207193246
SRR13260506	0.7500702464196216	3.1862440367813205
SRR13260507	0.5122398114860569	1.438038956049241
SRR13260508	0.5786464002992296	2.2031122203101865
SRR13260509	0.6160358535429303	2.345467139150633
SRR13260510	0.4575143802237002	1.284405247233139
SRR13260511	0.6949803899450875	2.77992155978035
SRR13260512	0.1376101238614987	0.6136629373925622
SRR13260513	0.6492079039963303	2.936732176089314
SRR9698226	0.283752041102505	0.6588518362175401
SRR9698229	0.5432385032059696	1.525063285826484
SRR9698232	0.5957925311989005	2.32769623707478
SRR9698233	0.7127044909912755	2.46555245088002
SRR9698234	0.7250037540649751	2.508100910443114
SRR9698242	0.5219047025224635	1.4651717354714473
SRR9698243	0.4722856995570328	1.2208408229817882
SRR9698244	0.580979727174668	1.501810808425725
SRR9698245	0.4775908705370869	0.9551817410741738
SRR9698254	0.5722127686425733	2.288851074570293
SRR9698257	0.5632187805789671	1.1264375611579345
SRR9698259	0.1985833541191204	0.314747169546236
